Time,Fx,Fy,Fx_actual,Fy_actual,Sep1,Sep2
1536010731.856063671,-14.2146,-11.8087,0,0,0,0
1536010731.860043264,-14.2146,-11.8087,0,0,0,0
1536010731.864043274,-14.2146,-11.8087,0,0,0,0
1536010731.868041844,-14.2146,-11.8087,0,0,0,0
1536010731.872041956,-14.2146,-11.8087,0,0,0,0
1536010731.876041634,-14.2146,-11.8087,0,0,0,0
1536010731.880043058,-14.2146,-11.8087,0,0,0,0
1536010731.884043263,-14.2146,-11.8087,0,0,0,0
1536010731.888043145,-14.2146,-11.8087,0,0,0,0
1536010731.892043470,-14.2146,-11.8087,0,0,0,0
1536010731.896043074,-14.2146,-11.8087,0,0,0,0
1536010731.900041738,-14.2146,-11.8087,0,0,0,0
1536010731.904042816,-14.2146,-11.8087,0,0,0,0
1536010731.908042196,-14.2146,-11.8087,0,0,0,0
1536010731.912041816,-14.2146,-11.8087,0,0,0,0
1536010731.916043232,-14.2146,-11.8087,0,0,0,0
1536010731.920043108,-14.2146,-11.8087,0,0,0,0
1536010731.924043177,-14.2146,-11.8087,0,0,0,0
1536010731.928043120,-14.2146,-11.8087,0,0,0,0
1536010731.932040897,-14.2146,-11.8087,0,0,0,0
1536010731.936042853,-14.2146,-11.8087,0,0,0,0
1536010731.940043425,-14.2146,-11.8087,0,0,0,0
1536010731.944041831,-14.2146,-11.8087,0,0,0,0
1536010731.948040885,-14.2146,-11.8087,0,0,0,0
1536010731.952041836,-14.2146,-11.8087,0,0,0,0
1536010731.956041261,-14.2146,-11.8087,0,0,0,0
1536010731.960043198,-14.2146,-11.8087,0,0,0,0
1536010731.964043185,-14.2146,-11.8087,0,0,0,0
1536010731.968043372,-14.2146,-11.8087,0,0,0,0
1536010731.972039998,-14.2146,-11.8087,0,0,0,0
1536010731.976042981,-14.2146,-11.8087,0,0,0,0
1536010731.980051599,-14.2146,-11.8087,0,0,0,0
1536010731.984043261,-14.2146,-11.8087,0,0,0,0
1536010731.988043100,-14.2146,-11.8087,0,0,0,0
1536010731.992042861,-14.2146,-11.8087,0,0,0,0
1536010731.996042889,-14.2146,-11.8087,0,0,0,0
1536010732.000043195,-14.2146,-11.8087,0,0,0,0
1536010732.004043042,-14.2146,-11.8087,0,0,0,0
1536010732.008043044,-14.2146,-11.8087,0,0,0,0
1536010732.012043311,-14.2146,-11.8087,0,0,0,0
1536010732.016043221,-14.2146,-11.8087,0,0,0,0
1536010732.020044177,-14.2146,-11.8087,0,0,0,0
1536010732.024044642,-14.2146,-11.8087,0,0,0,0
1536010732.028042356,-14.2146,-11.8087,0,0,0,0
1536010732.032044310,-14.2146,-11.8087,0,0,0,0
1536010732.036044197,-14.2146,-11.8087,0,0,0,0
1536010732.040044166,-14.2146,-11.8087,0,0,0,0
1536010732.044044005,-14.2146,-11.8087,0,0,0,0
1536010732.048042410,-14.2146,-11.8087,0,0,0,0
1536010732.052043475,-14.2146,-11.8087,0,0,0,0
1536010732.056039411,-14.2146,-11.8087,0,0,0,0
1536010732.060043317,-14.2146,-11.8087,0,0,0,0
1536010732.064043018,-14.2146,-11.8087,0,0,0,0
1536010732.068040941,-14.2146,-11.8087,0,0,0,0
