Time,Fx,Fy,Fx_actual,Fy_actual,Sep1,Sep2
1536010625.161505772,0,0,0,0,0,0
1536010625.165568842,0,0,0,0,0,0
1536010625.169570598,0,0,0,0,0,0
1536010625.173574824,0,0,0,0,0,0
1536010625.177573461,0,0,0,0,0,0
1536010625.181566415,0,0,0,0,0,0
1536010625.185566029,0,0,0,0,0,0
1536010625.189580112,0,0,0,0,0,0
1536010625.193569105,0,0,0,0,0,0
1536010625.197576363,0,0,0,0,0,0
1536010625.201569229,0,0,0,0,0,0
1536010625.205574790,15.4264,-13.0089,0,0,0,0
1536010625.209572440,15.4264,-13.0089,0,0,0,0
1536010625.213574660,15.4264,-13.0089,0,0,0,0
1536010625.217570800,15.4264,-13.0089,0,0,0,0
1536010625.221564714,15.4264,-13.0089,0,0,0,0
1536010625.225562853,15.4264,-13.0089,0,0,0,0
1536010625.229570764,15.4264,-13.0089,0,0,0,0
1536010625.233780607,15.4264,-13.0089,0,0,0,0
1536010625.237567607,15.4264,-13.0089,0,0,0,0
1536010625.241562403,15.4264,-13.0089,0,0,0,0
1536010625.245566312,15.4264,-13.0089,0,0,0,0
1536010625.249559487,15.4264,-13.0089,0,0,0,0
1536010625.253564537,15.4264,-13.0089,0,0,0,0
1536010625.257560824,15.4264,-13.0089,0,0,0,0
1536010625.261561389,15.4264,-13.0089,0,0,0,0
1536010625.265559770,15.4264,-13.0089,0,0,0,0
1536010625.269562235,15.4264,-13.0089,0,0,0,0
1536010625.273562305,15.4264,-13.0089,0,0,0,0
1536010625.277545214,15.4264,-13.0089,0,0,0,0
1536010625.281563317,15.4264,-13.0089,0,0,0,0
1536010625.285564618,15.4264,-13.0089,0,0,0,0
1536010625.289560663,15.4264,-13.0089,0,0,0,0
1536010625.293560940,15.4264,-13.0089,0,0,0,0
1536010625.297558036,15.4264,-13.0089,0,0,0,0
1536010625.301560167,15.4264,-13.0089,0,0,0,0
1536010625.305557399,15.4264,-13.0089,0,0,0,0
1536010625.309560679,15.4264,-13.0089,0,0,0,0
1536010625.313559297,15.4264,-13.0089,0,0,0,0
1536010625.317560912,15.4264,-13.0089,0,0,0,0
1536010625.321557928,15.4264,-13.0089,0,0,0,0
1536010625.325557446,15.4264,-13.0089,0,0,0,0
1536010625.329557096,15.4264,-13.0089,0,0,0,0
1536010625.333559795,15.4264,-13.0089,0,0,0,0
1536010625.337557741,15.4264,-13.0089,0,0,0,0
1536010625.341558482,15.4264,-13.0089,0,0,0,0
1536010625.345558374,15.4264,-13.0089,0,0,0,0
1536010625.349558293,15.4264,-13.0089,0,0,0,0
1536010625.353557533,15.4264,-13.0089,0,0,0,0
1536010625.357557974,15.4264,-13.0089,0,0,0,0
1536010625.361556704,15.4264,-13.0089,0,0,0,0
1536010625.365560458,15.4264,-13.0089,0,0,0,0
1536010625.369557329,15.4264,-13.0089,0,0,0,0
1536010625.373560471,15.4264,-13.0089,0,0,0,0
1536010625.377557393,15.4264,-13.0089,0,0,0,0
1536010625.381561589,15.4264,-13.0089,0,0,0,0
1536010625.385557653,15.4264,-13.0089,0,0,0,0
1536010625.389558205,15.4264,-13.0089,0,0,0,0
1536010625.393557689,15.4264,-13.0089,0,0,0,0
1536010625.397557810,15.4264,-13.0089,0,0,0,0
1536010625.401556602,15.4264,-13.0089,0,0,0,0
1536010625.405557792,15.4264,-13.0089,0,0,0,0
1536010625.409557498,15.4264,-13.0089,0,0,0,0
1536010625.413561122,15.4264,-13.0089,0,0,0,0
1536010625.417558413,15.4264,-13.0089,0,0,0,0
1536010625.421559638,15.4264,-13.0089,0,0,0,0
1536010625.425559342,15.4264,-13.0089,0,0,0,0
1536010625.429558067,15.4264,-13.0089,0,0,0,0
1536010625.433557389,15.4264,-13.0089,0,0,0,0
1536010625.437557702,15.4264,-13.0089,0,0,0,0
1536010625.441556876,15.4264,-13.0089,0,0,0,0
1536010625.445559142,15.4264,-13.0089,0,0,0,0
1536010625.449557064,15.4264,-13.0089,0,0,0,0
1536010625.453559934,15.4264,-13.0089,0,0,0,0
1536010625.457557639,15.4264,-13.0089,0,0,0,0
1536010625.461558763,15.4264,-13.0089,0,0,0,0
1536010625.465556827,15.4264,-13.0089,0,0,0,0
1536010625.469557883,15.4264,-13.0089,0,0,0,0
1536010625.473556934,15.4264,-13.0089,0,0,0,0
1536010625.477559707,15.4264,-13.0089,0,0,0,0
1536010625.481556897,15.4264,-13.0089,0,0,0,0
1536010625.485559470,15.4264,-13.0089,0,0,0,0
1536010625.489559533,15.4264,-13.0089,0,0,0,0
1536010625.493558982,15.4264,-13.0089,0,0,0,0
1536010625.497556635,15.4264,-13.0089,0,0,0,0
1536010625.501558034,15.4264,-13.0089,0,0,0,0
1536010625.505556631,15.4264,-13.0089,0,0,0,0
1536010625.509569738,15.4264,-13.0089,0,0,0,0
1536010625.513565942,15.4264,-13.0089,0,0,0,0
1536010625.517559431,15.4264,-13.0089,0,0,0,0
1536010625.521556997,15.4264,-13.0089,0,0,0,0
1536010625.525557704,15.4264,-13.0089,0,0,0,0
1536010625.529556756,15.4264,-13.0089,0,0,0,0
1536010625.533557769,15.4264,-13.0089,0,0,0,0
1536010625.537557051,15.4264,-13.0089,0,0,0,0
1536010625.541557790,15.4264,-13.0089,0,0,0,0
1536010625.545557810,15.4264,-13.0089,0,0,0,0
1536010625.549559272,15.4264,-13.0089,0,0,0,0
1536010625.553557317,15.4264,-13.0089,0,0,0,0
1536010625.557557775,15.4264,-13.0089,0,0,0,0
1536010625.561557585,15.4264,-13.0089,0,0,0,0
1536010625.565557691,15.4264,-13.0089,0,0,0,0
1536010625.569557024,15.4264,-13.0089,0,0,0,0
1536010625.573560066,15.4264,-13.0089,0,0,0,0
1536010625.577559549,15.4264,-13.0089,0,0,0,0
1536010625.581560471,15.4264,-13.0089,0,0,0,0
1536010625.585558700,15.4264,-13.0089,0,0,0,0
1536010625.589561663,15.4264,-13.0089,0,0,0,0
1536010625.593558478,15.4264,-13.0089,0,0,0,0
1536010625.597557607,15.4264,-13.0089,0,0,0,0
1536010625.601557096,15.4264,-13.0089,0,0,0,0
1536010625.605558764,15.4264,-13.0089,0,0,0,0
1536010625.609558001,15.4264,-13.0089,0,0,0,0
1536010625.613558341,15.4264,-13.0089,0,0,0,0
1536010625.617557500,15.4264,-13.0089,0,0,0,0
1536010625.621559394,15.4264,-13.0089,0,0,0,0
1536010625.625557621,15.4264,-13.0089,0,0,0,0
1536010625.629585965,15.4264,-13.0089,0,0,0,0
1536010625.633556886,15.4264,-13.0089,0,0,0,0
1536010625.637558232,15.4264,-13.0089,0,0,0,0
1536010625.641557023,15.4264,-13.0089,0,0,0,0
1536010625.645560746,15.4264,-13.0089,0,0,0,0
1536010625.649557409,15.4264,-13.0089,0,0,0,0
1536010625.653560791,15.4264,-13.0089,0,0,0,0
1536010625.657557186,15.4264,-13.0089,0,0,0,0
1536010625.661557994,15.4264,-13.0089,0,0,0,0
1536010625.665557496,15.4264,-13.0089,0,0,0,0
1536010625.669561246,15.4264,-13.0089,0,0,0,0
1536010625.673557670,15.4264,-13.0089,0,0,0,0
1536010625.677560446,15.4264,-13.0089,0,0,0,0
1536010625.681557815,15.4264,-13.0089,0,0,0,0
1536010625.685560723,15.4264,-13.0089,0,0,0,0
1536010625.689557247,15.4264,-13.0089,0,0,0,0
1536010625.693560434,15.4264,-13.0089,0,0,0,0
1536010625.697558385,15.4264,-13.0089,0,0,0,0
1536010625.701558808,15.4264,-13.0089,0,0,0,0
1536010625.705557730,15.4264,-13.0089,0,0,0,0
1536010625.709560247,15.4264,-13.0089,0,0,0,0
1536010625.713557819,15.4264,-13.0089,0,0,0,0
1536010625.717559350,15.4264,-13.0089,0,0,0,0
1536010625.721558313,15.4264,-13.0089,0,0,0,0
1536010625.725559324,15.4264,-13.0089,0,0,0,0
1536010625.729557816,15.4264,-13.0089,0,0,0,0
1536010625.733557634,15.4264,-13.0089,0,0,0,0
1536010625.737557089,15.4264,-13.0089,0,0,0,0
1536010625.741558011,15.4264,-13.0089,0,0,0,0
1536010625.745563851,15.4264,-13.0089,0,0,0,0
1536010625.749560590,15.4264,-13.0089,0,0,0,0
1536010625.753557181,15.4264,-13.0089,0,0,0,0
1536010625.757559360,15.4264,-13.0089,0,0,0,0
1536010625.761557222,15.4264,-13.0089,0,0,0,0
1536010625.765557993,15.4264,-13.0089,0,0,0,0
1536010625.769557064,15.4264,-13.0089,0,0,0,0
1536010625.773557935,15.4264,-13.0089,0,0,0,0
1536010625.777557118,15.4264,-13.0089,0,0,0,0
1536010625.781560208,15.4264,-13.0089,0,0,0,0
1536010625.785557186,15.4264,-13.0089,0,0,0,0
1536010625.789560379,15.4264,-13.0089,0,0,0,0
1536010625.793557646,15.4264,-13.0089,0,0,0,0
1536010625.797560336,15.4264,-13.0089,0,0,0,0
1536010625.801561783,15.4264,-13.0089,0,0,0,0
1536010625.805559828,15.4264,-13.0089,0,0,0,0
1536010625.809557655,15.4264,-13.0089,0,0,0,0
1536010625.813558953,15.4264,-13.0089,0,0,0,0
1536010625.817559971,15.4264,-13.0089,0,0,0,0
1536010625.821561461,15.4264,-13.0089,0,0,0,0
1536010625.825557659,15.4264,-13.0089,0,0,0,0
1536010625.829561323,15.4264,-13.0089,0,0,0,0
1536010625.833559860,15.4264,-13.0089,0,0,0,0
1536010625.837560414,15.4264,-13.0089,0,0,0,0
1536010625.841557964,15.4264,-13.0089,0,0,0,0
1536010625.845561362,15.4264,-13.0089,0,0,0,0
1536010625.849559932,15.4264,-13.0089,0,0,0,0
1536010625.853561276,15.4264,-13.0089,0,0,0,0
1536010625.857558592,15.4264,-13.0089,0,0,0,0
1536010625.861568583,15.4264,-13.0089,0,0,0,0
1536010625.865560247,15.4264,-13.0089,0,0,0,0
1536010625.869563009,15.4264,-13.0089,0,0,0,0
1536010625.873565233,15.4264,-13.0089,0,0,0,0
1536010625.877566305,15.4264,-13.0089,0,0,0,0
1536010625.881559897,15.4264,-13.0089,0,0,0,0
1536010625.885561170,15.4264,-13.0089,0,0,0,0
1536010625.889558063,15.4264,-13.0089,0,0,0,0
1536010625.893562906,15.4264,-13.0089,0,0,0,0
1536010625.897560259,15.4264,-13.0089,0,0,0,0
1536010625.901558369,15.4264,-13.0089,0,0,0,0
1536010625.905559569,15.4264,-13.0089,0,0,0,0
1536010625.909559822,15.4264,-13.0089,0,0,0,0
1536010625.913558526,15.4264,-13.0089,0,0,0,0
1536010625.917559016,15.4264,-13.0089,0,0,0,0
1536010625.921557969,15.4264,-13.0089,0,0,0,0
1536010625.925561344,15.4264,-13.0089,0,0,0,0
1536010625.929557880,15.4264,-13.0089,0,0,0,0
1536010625.933561476,15.4264,-13.0089,0,0,0,0
1536010625.937558598,15.4264,-13.0089,0,0,0,0
1536010625.941558537,15.4264,-13.0089,0,0,0,0
1536010625.945557961,15.4264,-13.0089,0,0,0,0
1536010625.949560361,15.4264,-13.0089,0,0,0,0
1536010625.953557507,15.4264,-13.0089,0,0,0,0
1536010625.957570157,15.4264,-13.0089,0,0,0,0
1536010625.961571111,15.4264,-13.0089,-0.039,-0.024,0,0
1536010625.965561285,15.4264,-13.0089,-0.046,-0.054,0,0
1536010625.969560076,15.4264,-13.0089,-0.048,-0.046,0,0
1536010625.973560416,15.4264,-13.0089,-0.041,-0.001,0,0
1536010625.977559416,15.4264,-13.0089,-0.022,0.058,0,0
1536010625.981558869,15.4264,-13.0089,0,0.096,0,0
1536010625.985558467,15.4264,-13.0089,0.017,0.092,0,0
1536010625.989559291,15.4264,-13.0089,0.019,0.052,0,0
1536010625.993558361,15.4264,-13.0089,0.009,0.007,0,0
1536010625.997561630,15.4264,-13.0089,0.001,-0.019,0,0
1536010626.001558775,15.4264,-13.0089,0.001,-0.02,0,0
1536010626.005561296,15.4264,-13.0089,0.009,-0.008,0,0
1536010626.009562390,15.4264,-13.0089,0.016,0,0,0
1536010626.013561356,15.4264,-13.0089,0.02,0.004,0,0
1536010626.017557517,15.4264,-13.0089,0.023,0.005,0,0
1536010626.021559039,15.4264,-13.0089,0.03,0.009,0,0
1536010626.025560466,15.4264,-13.0089,0.036,0.014,0,0
1536010626.029561829,15.4264,-13.0089,0.033,0.016,0,0
1536010626.033557662,15.4264,-13.0089,0.017,0.01,0,0
1536010626.037557831,15.4264,-13.0089,-0.002,0.005,0,0
1536010626.041558269,15.4264,-13.0089,-0.014,0.007,0,0
1536010626.045560847,15.4264,-13.0089,-0.013,0.018,0,0
1536010626.049557402,15.4264,-13.0089,-0.004,0.028,0,0
1536010626.053560767,15.4264,-13.0089,0,0.021,0,0
1536010626.057557136,15.4264,-13.0089,-0.009,-0.007,0,0
1536010626.061560291,15.4264,-13.0089,-0.023,-0.046,0,0
1536010626.065559552,15.4264,-13.0089,-0.03,-0.07,0,0
1536010626.069561645,15.4264,-13.0089,-0.027,-0.06,0,0
1536010626.073559719,15.4264,-13.0089,-0.018,-0.022,0,0
1536010626.077560206,15.4264,-13.0089,-0.015,0.018,0,0
1536010626.081559774,15.4264,-13.0089,-0.025,0.037,0,0
1536010626.085558946,15.4264,-13.0089,-0.043,0.027,0,0
1536010626.089557886,15.4264,-13.0089,-0.054,0.003,0,0
1536010626.093561930,15.4264,-13.0089,-0.052,-0.013,0,0
1536010626.097561160,15.4264,-13.0089,-0.037,-0.013,0,0
1536010626.101572155,15.4264,-13.0089,-0.017,-0.003,0,0
1536010626.105560223,15.4264,-13.0089,-0.003,0.003,0,0
1536010626.109559374,15.4264,-13.0089,0,0,0,0
1536010626.113558357,15.4264,-13.0089,-0.007,-0.01,0,0
1536010626.117558002,15.4264,-13.0089,-0.023,-0.022,0,0
1536010626.121557738,15.4264,-13.0089,-0.037,-0.026,0,0
1536010626.125560201,15.4264,-13.0089,-0.04,-0.018,0,0
1536010626.129557641,15.4264,-13.0089,-0.028,-0.001,0,0
1536010626.133558113,15.4264,-13.0089,-0.006,0.016,0,0
1536010626.137557340,15.4264,-13.0089,0.014,0.027,0,0
1536010626.141558468,15.4264,-13.0089,0.025,0.027,0,0
1536010626.145556992,15.4264,-13.0089,0.028,0.021,0,0
1536010626.149558636,15.4264,-13.0089,0.028,0.015,0,0
1536010626.153557172,15.4264,-13.0089,0.027,0.011,0,0
1536010626.157556821,15.4264,-13.0089,0.022,0.005,0,0
1536010626.161556642,15.4264,-13.0089,0.008,-0.006,0,0
1536010626.165558856,15.4264,-13.0089,-0.014,-0.022,0,0
1536010626.169556941,15.4264,-13.0089,-0.037,-0.029,0,0
1536010626.173565255,15.4264,-13.0089,-0.053,-0.016,0,0
1536010626.177556766,15.4264,-13.0089,-0.055,0.015,0,0
1536010626.181557642,15.4264,-13.0089,-0.043,0.046,0,0
1536010626.185557260,15.4264,-13.0089,-0.022,0.057,0,0
1536010626.189558787,15.4264,-13.0089,0,0.039,0,0
1536010626.193557240,15.4264,-13.0089,0.011,0.008,0,0
1536010626.197558743,15.4264,-13.0089,0.006,-0.012,0,0
1536010626.201557914,15.4264,-13.0089,-0.013,-0.008,0,0
1536010626.205557921,15.4264,-13.0089,-0.04,0.013,0,0
1536010626.209557164,15.4264,-13.0089,-0.061,0.036,0,0
1536010626.213557602,15.4264,-13.0089,-0.063,0.045,0,0
1536010626.217558485,15.4264,-13.0089,-0.045,0.039,0,0
1536010626.221558294,15.4264,-13.0089,-0.019,0.024,0,0
1536010626.225559647,15.4264,-13.0089,-0.001,0.006,0,0
1536010626.229556924,15.4264,-13.0089,-0.005,-0.012,0,0
1536010626.233557159,15.4264,-13.0089,-0.029,-0.023,0,0
1536010626.237558817,15.4264,-13.0089,-0.058,-0.021,0,0
1536010626.241559391,15.4264,-13.0089,-0.077,-0.001,0,0
1536010626.245558559,15.4264,-13.0089,-0.078,0.026,0.0156872,0.0156871
1536010626.249557323,0.605885,-0.510938,-0.063,0.048,0.0156872,0.0156871
1536010626.253558328,0.605885,-0.510938,-0.042,0.052,0.0156872,0.0156871
1536010626.257558594,0.605885,-0.510938,-0.023,0.043,0.0156872,0.0156871
1536010626.261557920,0.605885,-0.510938,-0.012,0.029,0.0156872,0.0156871
1536010626.265558203,0.605885,-0.510938,-0.011,0.015,0.0156872,0.0156871
1536010626.269556699,0.605885,-0.510938,-0.019,-0.001,0.0156872,0.0156871
1536010626.273558247,0.605885,-0.510938,-0.024,-0.024,0.0156872,0.0156871
1536010626.277557919,0.605885,-0.510938,-0.017,-0.043,0.0156872,0.0156871
1536010626.281557144,0.605885,-0.510938,0.004,-0.046,0.0156872,0.0156871
1536010626.285558045,0.605885,-0.510938,0.031,-0.028,0.0156872,0.0156871
1536010626.289558659,0.605885,-0.510938,0.047,-0.003,0.0156872,0.0156871
1536010626.293558286,0.605885,-0.510938,0.038,0.007,0.0156872,0.0156871
1536010626.297557632,0.605885,-0.510938,0.009,-0.004,0.0156872,0.0156871
1536010626.301557596,0.605885,-0.510938,-0.024,-0.025,0.0156872,0.0156871
1536010626.305557859,0.605885,-0.510938,-0.045,-0.032,0.0156872,0.0156871
1536010626.309558333,0.605885,-0.510938,-0.042,-0.014,0.0156872,0.0156871
1536010626.313556877,0.605885,-0.510938,-0.022,0.016,0.0156872,0.0156871
1536010626.317559090,0.605885,-0.510938,-0.001,0.036,0.0156872,0.0156871
1536010626.321558203,0.605885,-0.510938,0.005,0.03,0.0156872,0.0156871
1536010626.325559083,0.605885,-0.510938,-0.005,0.002,0.0156872,0.0156871
1536010626.329559875,0.605885,-0.510938,-0.022,-0.029,0.0156872,0.0156871
1536010626.333565588,0.605885,-0.510938,-0.032,-0.047,0.0156872,0.0156871
1536010626.337557848,0.605885,-0.510938,-0.024,-0.047,0.0156872,0.0156871
1536010626.341558545,0.605885,-0.510938,-0.007,-0.034,0.0156872,0.0156871
1536010626.345557018,0.605885,-0.510938,0.003,-0.019,0.0156872,0.0156871
1536010626.349558365,0.605885,-0.510938,-0.001,-0.006,0.0156872,0.0156871
1536010626.353557327,0.605885,-0.510938,-0.02,0.002,0.0156872,0.0156871
1536010626.357558105,0.605885,-0.510938,-0.038,0.007,0.0156872,0.0156871
1536010626.361557287,0.605885,-0.510938,-0.044,0.004,0.0156872,0.0156871
1536010626.365559251,0.605885,-0.510938,-0.039,-0.011,0.0156872,0.0156871
1536010626.369557888,0.605885,-0.510938,-0.035,-0.035,0.0156872,0.0156871
1536010626.373557693,0.605885,-0.510938,-0.04,-0.052,0.0156872,0.0156871
1536010626.377558007,0.605885,-0.510938,-0.05,-0.047,0.0156872,0.0156871
1536010626.381558647,0.605885,-0.510938,-0.054,-0.016,0.0156872,0.0156871
1536010626.385557875,0.605885,-0.510938,-0.04,0.024,0.0156872,0.0156871
1536010626.389558373,0.605885,-0.510938,-0.012,0.049,0.0156872,0.0156871
1536010626.393558018,0.605885,-0.510938,0.018,0.04,0.0156872,0.0156871
1536010626.397559596,0.605885,-0.510938,0.034,0.004,0.0156872,0.0156871
1536010626.401558602,0.605885,-0.510938,0.029,-0.035,0.0156872,0.0156871
1536010626.405558931,0.605885,-0.510938,0.008,-0.055,0.0156872,0.0156871
1536010626.409557990,0.605885,-0.510938,-0.015,-0.042,0.0156872,0.0156871
1536010626.413557784,0.605885,-0.510938,-0.029,-0.007,0.0156872,0.0156871
1536010626.417558273,0.605885,-0.510938,-0.029,0.029,0.0156872,0.0156871
1536010626.421559392,0.605885,-0.510938,-0.021,0.05,0.0156872,0.0156871
1536010626.425558403,0.605885,-0.510938,-0.012,0.052,0.0156872,0.0156871
1536010626.429561397,0.605885,-0.510938,-0.004,0.043,0.0156872,0.0156871
1536010626.433562148,0.605885,-0.510938,0.001,0.033,0.0156872,0.0156871
1536010626.437561938,0.605885,-0.510938,0.007,0.026,0.0156872,0.0156871
1536010626.441559430,0.605885,-0.510938,0.013,0.016,0.0156872,0.0156871
1536010626.445559733,0.605885,-0.510938,0.019,0.003,0.0156872,0.0156871
1536010626.449559643,0.605885,-0.510938,0.028,-0.006,0.0156872,0.0156871
1536010626.453562004,0.605885,-0.510938,0.041,-0.007,0.0156872,0.0156871
1536010626.457560676,0.605885,-0.510938,0.051,0,0.0156872,0.0156871
1536010626.461563796,0.605885,-0.510938,0.05,0.001,0.0156872,0.0156871
1536010626.465561454,0.605885,-0.510938,0.032,-0.017,0.0156872,0.0156871
1536010626.469561740,0.605885,-0.510938,0.007,-0.054,0.0156872,0.0156871
1536010626.473558481,0.605885,-0.510938,-0.005,-0.087,0.0156872,0.0156871
1536010626.477557406,0.605885,-0.510938,0.004,-0.094,0.0156872,0.0156871
1536010626.481557564,0.605885,-0.510938,0.028,-0.068,0.0156872,0.0156871
1536010626.485560573,0.605885,-0.510938,0.048,-0.025,0.0156872,0.0156871
1536010626.489558574,0.605885,-0.510938,0.046,0.01,0.0156872,0.0156871
1536010626.493556960,0.605885,-0.510938,0.026,0.026,0.0156872,0.0156871
1536010626.497556754,0.605885,-0.510938,0.001,0.027,0.0156872,0.0156871
1536010626.501572809,0.605885,-0.510938,-0.017,0.024,0.0156872,0.0156871
1536010626.505557675,0.605885,-0.510938,-0.032,0.022,0.0156872,0.0156871
1536010626.509557532,0.605885,-0.510938,-0.05,0.015,0.0156872,0.0156871
1536010626.513558397,0.605885,-0.510938,-0.071,0,0.0156872,0.0156871
1536010626.517557613,0.605885,-0.510938,-0.081,-0.021,0.0156872,0.0156871
